Code,Parents,Synonyms,Definition,Display Name,Semantic Type,Concept in Subset
C136981,C67437,Anti-EphA2 Antibody-directed Liposomal Docetaxel Prodrug MM-310|Anti-EphA2 Antibody-targeted Nanoliposome MM-310|Anti-EphA2 Docetaxel-based Nanoliposome MM-310|EphA2-targeted Docetaxel Nanoliposome MM-310|MM 310|MM-310|MM310,"A formulation containing nanoparticles composed of liposomes that are conjugated to scFv antibody fragments directed against the ephrin receptor A2 (EphA2; Ephrin A2) and a proprietary prodrug of docetaxel, a poorly water-soluble, second-generation taxane analog, with potential antineoplastic activity. Upon intravenous administration of the anti-EphA2 antibody-directed liposomal docetaxel prodrug MM-310, the anti-EphA2 moiety selectively targets and binds to cells expressing EphI3:I12A2. Following accumulation of MM-310, docetaxel is slowly released from MM-310 and accumulates at the tumor site due to the unique characteristics of the tumor vasculature. In turn, docetaxel is taken up by tumor cells, where it binds to and stabilizes the beta-subunit of tubulin, thereby stabilizing microtubules and inhibiting microtubule disassembly. This results in cell cycle arrest and the induction of cell death. The cell-surface receptor EphA2, a member of the ephrin family of receptor tyrosine kinases (RTKs) that are involved in mammalian development, is overexpressed by a variety of cancer cell types and plays an important role in tumor growth; its expression is associated with poor prognosis. Compared to free docetaxel, MM-310 increases docetaxel's half-life, and provides enhanced and specific accumulation in EphA2-expressing tumors, thereby increasing docetaxel's efficacy while lowering its systemic toxicity.",Anti-EphA2 Antibody-directed Liposomal Docetaxel Prodrug MM-310,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C137951,C1512|C1420,Belzupacap Sarotalocan|AU-011|BELZUPACAP SAROTALOCAN|HPV-NP AU-011|Human Papillomavirus Virus-like Particles Conjugated with IR700 Dye AU-011|Light-activated AU-011|VNC AU-011|Viral Nanoparticle Conjugates AU-011,"A formulation composed of nanoparticles derived from the human papillomavirus (HPV-NPs) and conjugated to the infrared (IR)-activated fluorescent dye IR700 (IR-700), with potential antineoplastic activity. Upon intravitreal injection of belzupacap sarotalocan, the HPV-NPs target and bind to heparan-sulfated proteoglycans (HSPG) expressed by ocular melanoma cells. Upon irradiation with near-IR (NIR) light, the photosensitizer IR700 becomes activated, generates reactive oxygen species (ROS) and selectively damages the melanoma cell membrane, which induces necrosis of the melanoma cells while sparing the surrounding, healthy non-HSPG-expressing tissue, and potentially preserving vision. HSPGs are overexpressed on a variety of cancer cell types.",Belzupacap Sarotalocan,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C139003,C1594,Micellar Nanoparticle-encapsulated Epirubicin|Epirubicin-incorporating Micelle|K-912|NC-6300|NC-6300|Nanoparticle Epirubicin,"A nanoparticle-based prodrug formulation consisting of polymeric micelles encapsulating the anthracycline epirubicin, with potential antineoplastic activity. Epirubicin is covalently bound to polyethylene glycol (PEG) polyaspartate block copolymers through an acid-labile hydrazone bond and, upon suspension in an aqueous solution, a micellar structure with an outer hydrophilic PEG shell surrounding the hydrophobic epirubicin is formed. Upon administration of the micellar nanoparticle-encapsulated epirubicin, the nanoparticles are stable in the bloodstream and specifically accumulate in the tumor tissue. Due to the acidic conditions in the tumor and the pH-responsive nature of the micelles, epirubicin is released in the tumor milieu; it then intercalates into DNA and inhibits topoisomerase II, which inhibits DNA replication and interferes with synthesis of both RNA and protein. Compared to the administration of epirubicin alone, this formulation increases the water-solubility of epirubicin and increases its therapeutic effect while decreasing its cardiotoxicity.",Micellar Nanoparticle-encapsulated Epirubicin,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C1404,C471,Protein Kinase Inhibitor,"Any substance that inhibits protein kinase, an enzyme that catalyzes the addition of a phosphate group to a protein and is active in many diverse signaling pathways.",Protein Kinase Inhibitor,Chemical Viewed Functionally,CTRP Agent Terminology|CTRP Terminology
C142078,C308|C208191,Adoptive Cell Therapy Agent|ACT Agent|Adoptive Cell Transfer Agent|Adoptive Cell-based Agent|Adoptive Cellular Therapy Agent|Adoptive Immunotherapy|Cellular Immunotherapy Agent,A preparation of allogeneic or autologous cells that is meant to be administered to a patient and may have an immunotherapeutic effect.,Adoptive Cell Therapy Agent,Classification,CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology
C1420,C1909,Photosensitizing Agent|Photosensitizer|Photosensitizers|photosensitizer|photosensitizing agent,Any pharmaceutical that is administered as an inactive precursor that can be converted to its pharmacologically active form through exposure to ultraviolet radiation or sunlight.,,Chemical Viewed Functionally,
C142137,C61199|C1962|C129820,Lipid Nanoparticle Encapsulated OX40L mRNA-2416|Lipid Nanoparticle Encapsulated mRNA Encoding Human OX40L|mRNA 2416|mRNA-2416,"A proprietary formulation consisting of a lipid nanoparticle encapsulating a synthetic messenger RNA (mRNA) encoding the human co-stimulatory protein tumor necrosis factor ligand superfamily member 4 (TNFSF4; OX40 Ligand; OX40L), with potential immunomodulatory and antitumor activities. Although the mechanism of action has not been completely characterized, following intratumoral injection of lipid nanoparticle encapsulated OX40L mRNA-2416, the lipid nanoparticle moiety presumably binds to the plasma membrane of nearby cells and releases the OX40L mRNA into the cell. The OX40L mRNA is then translated by the cellular protein translation machinery to produce OX40L protein, which is then expressed on the plasma membrane of the cells that internalized the OX40L mRNA. OX40L binds to and activates signaling pathways downstream of its cognate receptor tumor necrosis factor receptor superfamily member 4 (TNFRSF4; OX40), which is expressed on activated T-cells. OX40L/OX40 binding promotes increased cytokine production, which can induce proliferation of memory and effector T-lymphocytes. Altogether, this may enhance an immune response that promotes the killing of nearby tumor cells. OX40L, a cell surface glycoprotein and member of the tumor necrosis factor (TNF) ligand family, provides a co-stimulatory signal for the proliferation and survival of activated T cells.",Lipid Nanoparticle Encapsulated OX40L mRNA-2416,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C1446,C1909,Radiopharmaceutical Compound|Radioactive Pharmaceutical|Radiochemical|Radiopharmaceutical|Radiopharmaceutical|Radiopharmaceuticals|radioactive drug|radiopharmaceutical,An agent that contains a radioactive isotope and is used for diagnostic or therapeutic purposes.,Radiopharmaceutical Compound,"Indicator, Reagent, or Diagnostic Aid",BRIDG Class Terminology|BRIDG Terminology|CTRP Agent Terminology|CTRP Terminology
C1450,C798|C2163|C1590,Platinum Compound|Platinum Agents|Platinum-Based Chemotherapeutic Agent,A chemotherapy compound that contains a platinum atom. Platinum compounds do not contain alkyl groups but do cause DNA crosslinks and adducts similar to alkylating agents. DNA crosslinks and adducts ultimately lead to the induction of apoptosis.,Platinum Compound,Chemical Viewed Structurally,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology
C1454,C308|C307,Bispecific Antibody|Bispecific Antibodies|bispecific antibody|bsAb,,,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",
C146821,C61078,Nanoparticle Paclitaxel Ointment SOR007|NanoPac Ointment|Nanopartcle Paclitaxel SOR007|SOR007|SOR007 Ointment|Topical Nanoparticle Paclitaxel Ointment|Uncoated Nanoparticle Paclitaxel Ointment,"A topical ointment composed of the water-insoluble taxane paclitaxel that has been processed to form uncoated nanoparticles, with potential antineoplastic activity. Upon topical administration of nanoparticle paclitaxel ointment SOR007 to the affected area, and following epithelial and dermal penetration, paclitaxel binds to tubulin and inhibits the disassembly of microtubules, which leads to the inhibition of cell division, thereby halting the proliferation of rapidly-dividing tumor cells. The nanoparticles in the nanoparticle paclitaxel ointment are produced through a specific proprietary submicron particle production.",Nanoparticle Paclitaxel Ointment SOR007,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C147562,C574|C2201,Synthetic Vaccine Particles-Rapamycin|SEL 110|SEL-110|SEL110|SVP-R|SVP-Rapa|SVP-Rapamycin,"A proprietary, biodegradable, poly (lactic-co-glycolic acid) (PLGA) nanoparticle-based formulation composed of synthetic vaccine particles (SVP) encapsulating the macrolide antibiotic rapamycin (SVP-R), with immunosuppressant and drug-protective activities. Upon administration of SVP-R, the SVP moiety is selectively and preferentially taken up through endocytosis by antigen-presenting cells (APCs), located in the spleen and lymph nodes, specifically dendritic cells (DCs). Rapamycin, a mammalian target of rapamycin (mTOR) inhibitor, prevents DC maturation, induces tolerogenic DCs, induces regulatory T-cells (Tregs), blocks activation of effector T-cells, induces B-cell tolerance, reduces B-cell activation, and prevents antibody formation, thereby inducing immune tolerance. When co-administered with a biological immunogenic drug known to induce the production of anti-drug antibodies (ADA), SVP-R is able to prevent ADA formation, which prevents the unwanted neutralizing effects of ADAs, increases efficacy of the biological drug, and permits sustained therapeutic activity and repeated administration of the biological drug. In the presence of a specific target antigen, SVP-R is able to prevent an antigen-specific immune response and induces antigen-specific immune tolerance. Compared to the administration of free rapamycin, SVP-R induces long-lasting immunological tolerance.",Synthetic Vaccine Particles-Rapamycin,Pharmacologic Substance,NCI Drug Dictionary Terminology
C148280,C798,MOF Compound RiMO-301|RiMO-301,"A nanoparticle-based metal-organic framework (MOF) compound composed of proprietary X-ray-absorbing metals, with potential radiosensitizing properties. Upon intratumoral administration and subsequent irradiation of the tumor site, RiMO-301 absorbs the X-ray photons and produces reactive oxygen species (ROS), such as hydroxyl radicals and singlet oxygen, which induces ROS-mediated DNA damage in the irradiated cancer cells leading to tumor cell lysis. In addition, RiMO-301 may also contain an as of yet unidentified immunomodulating agent loaded into the channels/pores of the construct that may induce an immune response against the tumor-associated antigens (TAAs) released by the lysed tumor cells, thereby locally killing additional tumor and non-tumor cells. MOFs, porous crystalline materials composed of metal clusters and organic linkers, generate ROS at much lower X-ray dosages than used in standard radiotherapy, which results in reduced radiation exposure and X-ray damage to normal, healthy cells.",MOF Compound RiMO-301,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C148511,C1904,Nanoparticle SN-38-encapsulated Micelle Formulation IT-141|IT-141|IT141|Nanoparticle SN-38 Formulation IT141,"A nanoparticle-based formulation consisting of polymeric micelles, composed of triblock copolymers, loaded with the bioactive hydrophobic irinotecan metabolite 7-ethyl-10-hydroxy-camptothecin (SN-38), with potential antineoplastic activity. Upon administration, nanoparticle SN-38-encapsulated micelle formulation IT141 diffuses into the tumor site and the SN-38 moiety binds to and inhibits topoisomerase I by stabilizing the cleavable complex between topoisomerase I and DNA, which results in DNA breaks, inhibition of DNA replication, and apoptosis. Compared to SN-38 alone, this formulation increases the water solubility of SN-38 and allows the delivery of higher doses of SN-38. IT-141 also has a much longer circulation time and reduces toxicity to normal, healthy tissues.",,Pharmacologic Substance,NCI Drug Dictionary Terminology
